epoch,accuracy,loss,val_accuracy,val_loss
0,0.5062500238418579,0.7046329975128174,0.574999988079071,0.6704767346382141
1,0.5062500238418579,0.6852571368217468,0.574999988079071,0.6590579748153687
2,0.518750011920929,0.6667193174362183,0.574999988079071,0.6480472087860107
3,0.5249999761581421,0.6488474607467651,0.574999988079071,0.6372782588005066
4,0.5562499761581421,0.631076455116272,0.6000000238418579,0.6264615654945374
5,0.643750011920929,0.6142250299453735,0.6499999761581421,0.6152433156967163
6,0.731249988079071,0.5974284410476685,0.675000011920929,0.6034365892410278
7,0.793749988079071,0.580162763595581,0.7749999761581421,0.5907241106033325
8,0.8125,0.5628622770309448,0.824999988079071,0.578222393989563
9,0.84375,0.5449162125587463,0.824999988079071,0.5645161867141724
10,0.862500011920929,0.5269719362258911,0.8500000238418579,0.5502983927726746
11,0.8687499761581421,0.5084134936332703,0.8500000238418579,0.5353706479072571
12,0.8687499761581421,0.4899563789367676,0.8500000238418579,0.520275890827179
13,0.8687499761581421,0.4709340035915375,0.8500000238418579,0.50471431016922
14,0.875,0.45124927163124084,0.8500000238418579,0.48914605379104614
15,0.8812500238418579,0.4322420060634613,0.875,0.47356289625167847
16,0.8812500238418579,0.41358286142349243,0.875,0.45845097303390503
17,0.887499988079071,0.3953827917575836,0.875,0.44365638494491577
18,0.893750011920929,0.378417044878006,0.875,0.4294610619544983
19,0.893750011920929,0.36142364144325256,0.875,0.41622310876846313
20,0.887499988079071,0.3459598422050476,0.875,0.403752863407135
